Hardness,pressure,bias,flow,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf,ave:num_f_valence,var:evaporation_heat,var:num_unfilled,var:vdw_radius_alvarez
20.6579,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2699609351643314,0.0,0.0,0.0,0.0,0.2899557530942937,0.2797520578797361,0.1603312538616387,0.8902915424825227,0.14454723044529605,0.04868182079005493,0.04780920429025918
8.32,0.23437500000000003,0.5,0.48936170212765956,0.0,0.221,0.174,0.0,0.0,0.0,0.0,0.0,0.20600000000000002,0.21100000000000002,0.188,0.0,0.0,0.0,0.0,0.0,0.22513451025688958,0.28207455517956553,0.41815569608610537
8.0,0.05729166666666667,0.6,0.0851063829787234,0.0,0.0,0.2383856247526258,0.0,0.0,0.2660220418579778,0.22838289545375348,0.0,0.0,0.26720943793564295,0.0,0.0,0.0,0.0,0.0,0.0,0.0013526166784336596,0.37241358503332145,0.01600261916085484
9.9,0.30729166666666674,0.75,0.2553191489361702,0.0,0.0,0.2097457627118644,0.17584745762711865,0.0,0.0,0.0,0.19809322033898302,0.21504237288135591,0.0,0.0,0.0,0.0,0.20127118644067796,0.0,0.24545266639107066,0.5131444406849642,0.37402979739437886,0.11226467232430391
27.5468,0.0,0.75,0.14893617021276595,0.0,0.0,0.0,0.0,0.1849184918491849,0.0,0.0,0.0,0.15831583158315832,0.16981698169816983,0.0,0.0,0.24522452245224524,0.24172417241724176,0.0,0.5938398717920572,0.7942248276024354,0.06213827907769587,0.18670559976533926
11.4,0.30729166666666674,0.5,0.2553191489361702,0.0,0.0,0.0,0.0,0.1963499056010069,0.0,0.0,0.19162995594713655,0.0,0.0,0.19561569121040484,0.0,0.21407593874554226,0.20232850849590936,0.0,0.5078103015139654,0.33902711639972016,0.013816613597494164,0.209435032391639
7.548,0.37500000000000006,0.75,1.0,0.0,0.0,0.0,0.23989340250362015,0.0,0.0,0.0,0.23565532141867138,0.2263915866835189,0.0,0.2980596893941896,0.0,0.0,0.0,0.0,0.0,0.15692108974912386,0.10372683606063765,0.1099352604483939
21.1568,0.0,0.75,0.14893617021276595,0.0,0.0,0.0,0.0,0.2502,0.0,0.0,0.0,0.22260000000000002,0.2659,0.0,0.0,0.1305,0.1308,0.0,0.31865853658536586,0.6367790219567804,0.07693729942146055,0.14139573640573408
15.8,0.30729166666666674,0.5,0.2553191489361702,0.0,0.08856165093850461,0.0,0.0,0.15710878357357672,0.0,0.0,0.18635279477341077,0.0,0.0,0.1854194752670331,0.0,0.20138960904282902,0.18116768640464587,0.0,0.4665332871310669,0.545798655760215,0.04678091035794164,0.5242937645087049
9.73021,1.0,1.0,0.2553191489361702,0.0,0.0,0.0,0.0,0.305069493050695,0.0,0.0,0.16788321167883213,0.0,0.0,0.16378362163783622,0.0,0.19358064193580643,0.16968303169683033,0.0,0.443004480039801,0.4004012266916678,0.011598996960686742,0.23670100446530676
6.49945,0.42708333333333337,1.0,0.0,0.0,0.0,0.0,0.1848011352606363,0.15544024351418298,0.0,0.0,0.19412801577872513,0.2134719019109962,0.0,0.0,0.0,0.0,0.25215870353545944,0.0,0.30751061406763347,0.3566628995500482,0.013417680936163435,0.1290738036560711
22.4831,0.0,0.75,0.14893617021276595,0.0,0.0,0.0,0.0,0.2183,0.0,0.0,0.0,0.18899999999999997,0.2157,0.0,0.0,0.18780000000000002,0.1892,0.0,0.45975609756097563,0.7568430393177619,0.06924093985372774,0.17339516621210102
7.4,0.04687500000000001,0.9,0.46808510638297873,0.0,0.0,0.252,0.0,0.0,0.177,0.201,0.0,0.0,0.195,0.0,0.175,0.0,0.0,0.0,0.0,0.05825206951583769,0.3219997816832224,0.015136979744454639
12.2582,0.19270833333333334,0.75,0.2553191489361702,0.0,0.0,0.0,0.20829999999999999,0.0,0.0,0.0,0.2466,0.0,0.0,0.0,0.0,0.0,0.35840000000000005,0.1867,0.6647560975609756,0.1313232047042514,0.01329458210530146,0.07915197227681389
19.7689,0.0,0.75,0.14893617021276595,0.0,0.0,0.0,0.0,0.2627262726272628,0.0,0.0,0.0,0.23922392239223927,0.2935293529352936,0.0,0.0,0.10161016101610162,0.10291029102910292,0.0,0.24941518542098107,0.5467178532402195,0.08080518223126894,0.1182327048429457
13.6385,1.0,1.0,0.2553191489361702,0.0,0.0,0.0,0.0,0.08460000000000001,0.0,0.0,0.2195,0.0,0.0,0.22390000000000002,0.0,0.2413,0.23070000000000002,0.0,0.5756097560975609,0.24584100887581922,0.015080042207910347,0.16582152113370485
7.49568,0.42708333333333337,0.725,0.0,0.0,0.0,0.0,0.1848011352606363,0.15544024351418298,0.0,0.0,0.19412801577872513,0.2134719019109962,0.0,0.0,0.0,0.0,0.25215870353545944,0.0,0.30751061406763347,0.3566628995500482,0.013417680936163435,0.1290738036560711
11.2574,1.0,1.0,0.2553191489361702,0.0,0.0,0.0,0.0,0.21309999999999998,0.0,0.0,0.1877,0.0,0.0,0.1816,0.0,0.22260000000000002,0.195,0.0,0.5092682926829268,0.3553276954595866,0.013630673507259036,0.21569047013913523
16.6,0.30729166666666674,0.5,0.2553191489361702,0.0,0.05481340118744699,0.0,0.0,0.17058948261238338,0.0,0.0,0.19052162849872772,0.0,0.0,0.19391433418150975,0.0,0.20631891433418154,0.18384223918575066,0.0,0.47580628478040515,0.469129732271525,0.03522715529078505,0.41065637012322764
8.99271,0.16666666666666669,1.0,0.14893617021276595,0.0,0.0,0.1742,0.0,0.0,0.16609999999999997,0.17679999999999998,0.0,0.1352,0.1551,0.0,0.1926,0.0,0.0,0.0,0.0,0.08162088269500715,0.6202250100061856,0.019474917236516162
18.1,0.30729166666666674,0.5,0.2553191489361702,0.0,0.025269218466787504,0.0,0.0,0.17635142339268578,0.0,0.0,0.19756903721079005,0.0,0.0,0.1985286277854782,0.0,0.20855101823222089,0.19373067491203755,0.0,0.4905874306637299,0.3933768030817677,0.02416806935939489,0.3027528734556417
8.3,0.30729166666666674,1.0,1.0,0.0,0.0,0.0,0.19754970765484417,0.2084883346252186,0.0,0.0,0.0,0.19514350899980146,0.22095826961196555,0.0,0.0,0.0,0.0,0.1778601791081702,0.21690265744898804,0.15711552851780153,0.09158296276722927,0.30926591735707953
5.48859,0.16666666666666669,1.0,0.2553191489361702,0.0,0.098,0.174,0.0,0.0,0.187,0.36,0.0,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.011669193575659558,0.37901448167958374,0.16672979278939376
19.81,0.0,0.75,0.14893617021276595,0.0,0.0,0.0,0.0,0.2693939393939394,0.0,0.0,0.0,0.2696969696969697,0.3276767676767677,0.0,0.0,0.06535353535353534,0.06787878787878787,0.0,0.1624784429662478,0.40304934532347464,0.08762074038790556,0.08216974927667599
19.7265,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069306930693069,0.0,0.3564356435643564,0.33663366336633666,0.0,0.845206471866699,0.18932167186814397,0.010444900493922903,0.13509732614304218
8.2706,0.09895833333333334,0.5,0.20212765957446807,0.10345628941207614,0.14346122018423707,0.19002367376879728,0.0,0.0,0.19782197285448258,0.17798976056453297,0.0,0.0,0.18724708321587383,0.0,0.0,0.0,0.0,0.0,0.0,0.018420363556307957,0.4452884262156056,0.2332622439523669
7.24,0.37500000000000006,0.75,1.0,0.0,0.0,0.0,0.20396621799208714,0.0,0.0,0.0,0.17833290527866358,0.2131372476517787,0.0,0.40456362907747057,0.0,0.0,0.0,0.0,0.0,0.13690146517707807,0.11927552436419324,0.1008159984108949
17.88,0.3385416666666667,1.0,0.14893617021276595,0.0,0.04095904095904096,0.0,0.0,0.07592407592407592,0.0,0.0,0.057942057942057944,0.06693306693306694,0.07392607392607393,0.0,0.0,0.6843156843156843,0.0,0.0,0.8345313223362003,0.7603941933221702,0.04097648476809323,0.3633302427299551
8.30788,0.19270833333333334,0.75,0.2553191489361702,0.0,0.0,0.0,0.23758617244479968,0.0,0.0,0.0,0.2918373463882506,0.0,0.0,0.0,0.0,0.0,0.36037566190428616,0.11020081926266359,0.5738737575206704,0.12432682455082184,0.01108525272105231,0.051070489181031735
27.8614,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,0.0,0.0,0.0,0.0,0.338,0.323,0.0,0.8060975609756098,0.06515110998151571,0.010525779572826847,0.0009525481016800485
5.94249,0.16666666666666669,0.5,0.2553191489361702,0.0,0.098,0.174,0.0,0.0,0.187,0.36,0.0,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.011669193575659558,0.37901448167958374,0.16672979278939376
8.747,0.4166666666666667,0.5,1.0,0.0,0.0,0.0,0.1999762232774114,0.0,0.0,0.0,0.21310636886488127,0.17082476255745627,0.1957593515947887,0.22033329370546237,0.0,0.0,0.0,0.0,0.0,0.30097097789347776,0.11260457313939354,0.11096688313975551
8.78203,0.16666666666666669,1.0,0.14893617021276595,0.0,0.0,0.1929,0.0,0.0,0.18719999999999998,0.1807,0.0,0.0676,0.1638,0.0,0.2078,0.0,0.0,0.0,0.0,0.07776098323622083,0.4771218862569588,0.018163610846756
13.3,0.27083333333333337,0.5,0.3829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.21,0.26,0.0,0.0,0.18,0.16,0.0,0.4146341463414634,0.7811201992102167,0.07844849543354072,0.1484005108154088
29.0847,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.0,0.44799999999999995,0.34,0.0,0.9609756097560975,0.055777662913795996,0.014808427027617073,0.0030422173543340797
7.37009,0.16666666666666669,0.25,0.2553191489361702,0.0,0.098,0.174,0.0,0.0,0.187,0.36,0.0,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.011669193575659558,0.37901448167958374,0.16672979278939376
6.61911,0.16666666666666669,1.0,0.14893617021276595,0.0,0.0,0.2011,0.0,0.0,0.1986,0.1963,0.0,0.0,0.1808,0.0,0.2232,0.0,0.0,0.0,0.0,0.07221546864019494,0.3209727904522796,0.01655435259903306
20.12,0.09739583333333333,0.725,0.14893617021276595,0.0,0.0,0.0,0.23079193268301307,0.0,0.0,0.0,0.2489756172672292,0.0,0.3334255301554895,0.0,0.0,0.0,0.18680691989426834,0.0,0.22781331694422968,0.5531036267331483,0.07054975939823896,0.1031657335821225
3.75225,0.44270833333333337,1.0,0.2553191489361702,0.0,0.098,0.174,0.0,0.0,0.187,0.36,0.0,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.011669193575659558,0.37901448167958374,0.16672979278939376
9.1,0.05729166666666667,0.475,0.0851063829787234,0.0,0.0,0.23803836913054693,0.0,0.0,0.2639973958333333,0.22904673793859648,0.0,0.0,0.2689174970975232,0.0,0.0,0.0,0.0,0.0,0.0,0.0013371601985733904,0.37405015965848204,0.01602981980024835
6.62869,0.09895833333333334,0.5,0.20212765957446807,0.11902625297539786,0.06913881771459669,0.20203964660792237,0.0,0.0,0.2132392592065716,0.19665126103936703,0.0,0.0,0.19990476245614439,0.0,0.0,0.0,0.0,0.0,0.0,0.01363837727883604,0.46014588374970045,0.13317481681127946
10.8,0.30729166666666674,0.5,1.0,0.0,0.0,0.0,0.20669948205954977,0.1682315574099764,0.0,0.0,0.0,0.1682315574099764,0.23743739990680285,0.0,0.0,0.0,0.21940000321369466,0.0,0.2675609795288959,0.46518379227846174,0.07778698440056125,0.09351436042543282
19.2016,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800368380690629,0.0,0.0,0.0,0.0,0.18997234651718695,0.1910762919003118,0.4389145235134383,0.999955075525533,0.1997598859899565,0.07295685742877275,0.08440823603174193
5.80499,0.16666666666666669,0.75,0.2553191489361702,0.0,0.098,0.174,0.0,0.0,0.187,0.36,0.0,0.0,0.18100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.011669193575659558,0.37901448167958374,0.16672979278939376
12.8629,0.21875,0.55,0.5,0.0,0.19210000000000002,0.0,0.22399999999999998,0.0,0.0,0.0,0.2011,0.0,0.18059999999999998,0.2022,0.0,0.0,0.0,0.0,0.0,0.46642263791933913,0.1663666630280537,0.6848246927693091
25.4051,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.379,0.359,0.0,0.9,0.058981135859519404,0.012636720881999786,0.002679190529016807
8.90759,0.16666666666666669,1.0,0.09574468085106383,0.0,0.0348034803480348,0.0,0.23442344234423443,0.23872387238723872,0.0,0.0,0.22292229222922288,0.2691269126912691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342825724200619,0.05249743603988163,0.27156502254006837
8.34012,0.23437500000000003,0.5,0.48936170212765956,0.0,0.217,0.17,0.0,0.0,0.0,0.0,0.0,0.21100000000000002,0.20800000000000002,0.19399999999999998,0.0,0.0,0.0,0.0,0.0,0.22870794415875478,0.28324327766255514,0.4129883702523231
6.547,0.37500000000000006,0.75,1.0,0.0,0.0,0.0,0.24956900943085272,0.0,0.0,0.0,0.22841501345409726,0.21736807094014873,0.0,0.3046479061749013,0.0,0.0,0.0,0.0,0.0,0.15107052346056354,0.10540101344188238,0.10853943169931564
19.7813,0.37500000000000006,1.0,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.4,0.24,0.0,0.7804878048780488,0.21688778356578728,0.003001855692609975,0.15709263190694198
