Hardness,Modulus,Cu,Al,Fe,Zr,V,Co,Ni,Nb,Ti,Cr,Mo,Mn,W,Ta,Hf
9.47945,252.9,0,0.303068,0,0,0,35.3821,32.0992,0,1.68312,30.5866,0,0,0,0,0
8.90858,238.259,0,0.470855,0,0,0,35.3832,32.1787,0,1.89567,30.1003,0,0,0,0,0
8.88071,234.794,0,0.461514,0,0,0,35.4235,32.3535,0,1.80847,30.0118,0,0,0,0,0
9.9,135,0,0,19.8,16.6,0,0,0,18.7,20.3,0,0,0,0,19,0
18.1,241,0,2.37,0,0,16.54,0,0,18.53,0,0,18.62,0,19.56,18.17,0
16.6,230,0,5.17,0,0,16.09,0,0,17.97,0,0,18.29,0,19.46,17.34,0
15.8,231,0,8.54,0,0,15.15,0,0,17.97,0,0,17.88,0,19.42,17.47,0
20.1602,277.861,0,0,0,0,0,0,0,0,0,0,32,0,47,21,0
19.7813,275.96,0,0,0,0,0,0,0,0,0,0,36,0,40,24,0
20.1167,281.531,0,0,0,0,0,0,0,0,0,0,40,0,29,31,0
19.8621,279.975,0,0,0,0,0,0,0,0,0,0,32,0,33,35,0
19.7265,275.663,0,0,0,0,0,0,0,0,0,0,31,0,36,34,0
19.5909,272.179,0,0,0,0,0,0,0,0,0,0,34,0,32,34,0
8,181.9,0,0,0,0,0,0,0,25.8,7.5,0,0,0,37.9,28.8,0
8.77429,131.304,0,0,0,24.45,24.77,0,0,22.89,27.84,0,0,0,0,0,0
8.90759,139.678,0,3.48,0,23.44,23.87,0,0,22.29,26.91,0,0,0,0,0,0
8.90831,140.917,0,7.35,0,22.62,22.67,0,0,21.36,25.98,0,0,0,0,0,0
9.01309,142.739,0,12.24,0,21.49,21.82,0,0,19.78,24.66,0,0,0,0,0,0
9.04985,141.492,0,12.91,0,23.51,20.19,0,0,20.04,23.34,0,0,0,0,0,0
28.2961,318.134,0,0,0,0,0,0,0,25.1,0,0,0,0,37.8,37.1,0
27.8614,316.496,0,0,0,0,0,0,0,33.9,0,0,0,0,33.8,32.3,0
25.5874,298.407,0,0,0,0,0,0,0,37.8,0,0,0,0,32,30.2,0
29.0847,324.32,0,0,0,0,0,0,0,21.2,0,0,0,0,44.8,34,0
